"x"
4
4
3
10
14
8
20
3
9
10
14
12
15
15
27
12
14
15
21
22
21
19
21
17
20
21
20
20
23
20
27
9
5
13
10
4
12
7
10
1
4
9
12
17
18
23
22
1
8
8
11
18
10
21
