0,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
1,2,4,5,6,7,8,,,,,,,,,
1,2,3,5,6,7,8,,,,,,,,,
1,2,3,4,6,7,8,,,,,,,,,
1,2,,,,,,,,,,,,,,
1,2,3,4,5,6,8,,,,,,,,,
1,2,,,,,,,,,,,,,,
6,8,,,,,,,,,,,,,,
6,8,,,,,,,,,,,,,,
6,8,,,,,,,,,,,,,,
6,8,,,,,,,,,,,,,,
6,8,,,,,,,,,,,,,,
6,8,,,,,,,,,,,,,,
6,8,,,,,,,,,,,,,,
9,17,18,19,20,21,22,,,,,,,,,
9,16,18,19,20,21,22,,,,,,,,,
9,16,17,19,20,21,22,,,,,,,,,
9,16,17,18,20,21,22,,,,,,,,,
9,16,17,18,19,21,22,,,,,,,,,
9,16,17,18,19,20,22,,,,,,,,,
9,16,17,18,19,20,21,,,,,,,,,
9,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31
9,27,,,,,,,,,,,,,,
9,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31
9,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31
24,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
9,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31
9,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31
9,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
32,33,,,,,,,,,,,,,,
32,33,,,,,,,,,,,,,,
41,42,,,,,,,,,,,,,,
40,42,,,,,,,,,,,,,,
40,41,,,,,,,,,,,,,,
44,45,,,,,,,,,,,,,,
43,45,46,,,,,,,,,,,,,
43,44,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
43,44,45,46,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
49,50,,,,,,,,,,,,,,
53,54,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,
